actor_id,name
1,Ama Qamata
2,Khosi Ngema
3,Gail Mabalane
4,Thabang Molaba
5,Dillon Windvogel
6,Natasha Thahane
7,Arno Greeff
8,Xolile Tshabalala
9,Getmore Sithole
10,Cindy Mahlangu
11,Ryle De Morny
12,Greteli Fincham
13,Sello Maake Ka-Ncube
14,Odwa Gwanya
15,Mekaila Mathys
16,Sandi Schultz
17,Duane Williams
18,Shamilla Miller
19,Patrick Mofokeng
20,Sami Bouajila
21,Tracy Gotoas
22,Samuel Jouy
23,Nabiha Akkari
24,Sofia Lesaffre
25,Salim Kechiouche
26,Noureddine Farihi
27,Geert Van Rampelberg
28,Bakary Diombera
29,Mayur More
30,Jitendra Kumar
31,Ranjan Raj
32,Alam Khan
33,Ahsaas Channa
34,Revathi Pillai
35,Urvi Singh
36,Arun Kumar
37,Kate Siegel
38,Zach Gilford
39,Hamish Linklater
40,Henry Thomas
41,Kristin Lehman
42,Samantha Sloyan
43,Igby Rigney
44,Rahul Kohli
45,Annarah Cymone
46,Annabeth Gish
47,Alex Essoe
48,Rahul Abburi
49,Matt Biedel
50,Michael Trucco
51,Crystal Balint
52,Louis Oliver
53,Vanessa Hudgens
54,Kimiko Glenn
55,James Marsden
56,Sofia Carson
57,Liza Koshy
58,Ken Jeong
59,Elizabeth Perkins
60,Jane Krakowski
61,Michael McKean
62,Phil LaMarr
63,Kofi Ghanaba
64,Oyafunmike Ogunlano
65,Alexandra Duah
66,Nick Medley
67,Mutabaruka
68,Afemo Omilami
69,Reggie Carter
70,Mzuri
71,Mel Giedroyc
72,Sue Perkins
73,Mary Berry
74,Paul Hollywood
75,Melissa McCarthy
76,Chris O'Dowd
77,Kevin Kline
78,Timothy Olyphant
79,Daveed Diggs
80,Skyler Gisondo
81,Laura Harrier
82,Rosalind Chao
83,Kimberly Quinn
84,Loretta Devine
85,Ravi Kapoor
86,Sukollawat Kanarot
87,Sushar Manaying
88,Pavarit Mongkolpisit
89,Sahajak Boonthanakit
90,Suthipongse Thatphithakkul
