director_id,director
1,Kirsten Johnson
2,Julien Leclercq
3,Mike Flanagan
4,Robert Cullen
5,Haile Gerima
6,Andy Devonshire
7,Theodore Melfi
8,Kongkiat Komesiri
9,Christian Schwochow
10,Bruno Garotti
11,Pedro de Echave García
12,Adam Salky
13,Olivier Megaton
14,K.S. Ravikumar
15,Alex Woo
16,S. Shankar
17,Rajiv Menon
18,Dennis Dugan
19,Scott Stewart
20,Robert Luketic
21,Ashwiny Iyer Tiwari
22,Daniel Sandu
23,Cédric Jimenez
24,George Nolfi
25,Steven Spielberg
26,Jeannot Szwarc
27,Joe Alves
28,Joseph Sargent
29,Tyler Greco
30,Daniel Espinosa
31,Bunmi Ajakaiye
32,Antoine Fuqua
33,Toshiya Shinohara
34,Masahiko Murata
35,Hajime Kamegaki
36,Hirotsugu Kawasaki
37,Toshiyuki Tsuru
38,Tensai Okamura
39,David Yarovesky
40,Hanns-Bruno Kammertöns
41,David A. Vargas
42,Kemi Adetiba
43,Ben Simms
44,Prakash Satam
45,Delhiprasad Deenadayalan
46,Tomer Eshed
47,Cedric Nicolas-Troyan
48,JJC Skillz
49,Thomas Sieben
50,Marcus Clarke
51,Alice Waddington
52,Mona Achache
53,Alexis Almström
54,Raja Gosnell
55,Stephen Kijak
56,Chapman Way
57,Jason Hehir
58,Yemi Amodu
59,Lijo Jose Pellissery
60,David de Vos
61,Luis Alfaro
62,Sara Colangelo
63,Stephen Herek
64,Rahul Rawail
65,Jane Campion
66,Nagesh Kukunoor
67,Luke Holland
68,Shanker Raman
69,JP Habac
70,Vidhu Vinod Chopra
71,Mark Rosman
72,Gilles Paquet-Brenner
73,Lasse Hallström
74,Scott Pleydell-Pearce
75,Ridley Scott
76,Neill Blomkamp
77,Phillip Noyce
78,Renny Harlin
79,Anthony Minghella
80,Simon Wincer
81,Spike Lee
82,Sebastián Schindel
83,Steven C. Miller
84,Richard LaGravenese
85,Martin Campbell
86,Reginald Hudlin
87,George Jackson
88,Eric Meza
89,Gerhard Mostert
90,Michael Martin
91,Michael Rymer
92,Andrew Lau Wai-keung
93,Brett Weiner
94,Jim Henson
95,Gary Winick
96,Danishka Esterhazy
97,Troy Byer
98,Pang Ho-cheung
99,Tim Burton
100,David Zucker
101,Kinka Usher
102,Sergio Leone
103,Matthew O'Callaghan
104,Bobby Farrelly
105,Wolfgang Petersen
106,Peter Spirer
107,Michael Carney
108,Richard Linklater
109,Amy Rice
110,Randal Kleiser
111,Michael Ritchie
112,J. Lee Thompson
113,Evan Goldberg
114,Tom Shadyac
115,Peter Segal
116,Malcolm D. Lee
117,Ramzy Bedia
118,Sharan Koppisetty
119,Taylor Sheridan
120,Sachin Yardi
121,Saurabh Kabra
122,Mark Waters
123,Partho Mitra
124,Santram Varma
125,Anil V. Kumar
126,Sangeeth Sivan
127,Umesh Ghadge
128,David Dhawan
129,Dibakar Banerjee
130,Apoorva Lakhia
131,Milan Luthria
132,Pawan Kripalani
133,Bhushan Patel
134,Magnus Martens
135,Raj Nidimoru
136,Joshua Rofé
137,Brad Anderson
138,Mauricio Dias
139,Angel Kristi Williams
140,Roger Donaldson
141,Christopher Alender
142,Rush Sturges
143,David Oyelowo
144,Mark Lo
145,Crystal Moselle
146,Rathindran R Prasad
147,Han Kwang Il
148,Karim El Shenawy
149,Yin Chen-hao
150,Brian Andrew Mendoza
151,Dave Needham
152,Veronica Velasco
153,Drake Doremus
154,Miguel Alexandre
155,Mani Ratnam
156,Michael Harte
157,Tosin Igho
158,Alice Filippi
159,Paakhi Tyrewala
160,Laura Brownson
161,Steve Brill
162,Moses Inwang
163,Ferdinando Cito Filomarino
164,Juan Carlos Medina
165,Inma Torrente
166,Julián Gaviria
167,Steven Yamamoto
168,Charles Uwagbai
169,Julián Hernández
170,Sam Hobkinson
171,Vince Marcello
172,Jonathan Teplitzky
173,Sakon Tiacharoen
174,Floyd Russ
175,Dustin Hoffman
176,Adze Ugah
177,Hideaki Takizawa
178,Quoc Bao Tran
179,Bejoy Nambiar
180,Kayode Kasum
181,Just Philippot
182,Kirk DeMicco
183,Rohit Shetty
184,Cavi Borges
185,Alejandro Doria
186,Laura Fairrie
187,Marcelo Piñeyro
188,Izu Ojukwu
189,Peter Winther
190,Susan Lacy
191,Billy Corben
192,James Mangold
193,Chineze Anyaene
194,Hsu Fu-chun
195,Kristine Stolakis
196,Eva Müller
197,Brian Levant
198,Rod Daniel
199,Robert Zemeckis
